ResponseID,Constructive Voice Behaviour  ,Power distance,Resistance to Change,Core Self Evaluation ,Openness to Change,Age,Gender,Level of education,Are you a manager ( do you have people reporting to you )?,,,,,
R_3JK36cnKu1GgqKV,5,4.2,3.35,6.17,7.75,31-40 years,Female,Postgraduate Diploma / Masters,YES,,,,,
R_9odepHyhc1joxAV,5.4,1.2,3.41,2.58,5.125,41-50 years,Male,PhD,NO,,,,,
R_1CqMwxgZh2MXsG7,6.2,2.2,2.82,4.50,6.875,31-40 years,Male,Postgraduate Diploma / Masters,NO,,,,,
R_dhuJs36wk5Su2Pj,4,1.6,4.12,5.17,5.875,51-60 years,Female,Postgraduate Diploma / Masters,NO,,,,,
R_es4fzluUrUz1sEZ,5,3.4,3.06,5.67,5.375,41-50 years,Female,PhD,YES,,,,,
R_cM7sTN1zHLc0B2l,6,3,4.35,4.67,5.875,31-40 years,Female,Bachelor Degree,YES,,,,,
R_5zh0UCv5KQnWZK9,6,1,2.82,5.33,7.75,41-50 years,Female,Postgraduate Diploma / Masters,NO,,,,,
R_cN5cg70dDYOLeDP,6.2,1.6,3.29,5.25,7.5,31-40 years,Female,Postgraduate Diploma / Masters,YES,,,,,
R_57S3Jv4YG7F5NmB,6,6.6,2.53,5.00,6.375,31-40 years,Male,Postgraduate Diploma / Masters,YES,,,,,
R_byBhk8WeDzsKDwV,5.8,1,3.24,5.83,7.875,31-40 years,Male,Bachelor Degree,NO,,,,,
R_3PQNwqgK6YhT1bb,6,3,3.53,5.42,6.75,41-50 years,Male,Bachelor Degree,YES,,,,,
R_3QQ7Zugdoly5SCR,5,2.6,3.00,4.83,6.875,51-60 years,Male,Postgraduate Diploma / Masters,NO,,,,,
R_egvce26Zh7MNabr,4.6,5.6,3.24,5.58,7.25,51-60 years,Female,Diploma,NO,,,,,
R_0USZpagbLCc7IPP,4,2.6,4.18,4.50,6,31-40 years,Male,Postgraduate Diploma / Masters,NO,,,,,
R_9KQQUoGMXVqVClv,7,1.6,3.35,4.58,7.25,31-40 years,Male,Bachelor Degree,YES,,,,,
R_0OgDBstVCfKmqmV,4.4,1.4,4.35,3.42,4.875,41-50 years,Male,Postgraduate Diploma / Masters,YES,,,,,
R_2dEVSVeuCmSPkD1,4.6,3.2,4.29,4.42,7,41-50 years,Male,Bachelor Degree,YES,,,,,
R_2TR7TWVYihVHD3Q,4,2,4.29,3.58,8.25,31-40 years,Female,PhD,NO,,,,,
R_1OxfCGDPk8DMDa4,4.8,2.2,2.76,3.33,7.5,41-50 years,Male,Postgraduate Diploma / Masters,YES,,,,,
R_5iDIhGa8K1wpI8d,5,3,3.59,5.42,7.125,31-40 years,Male,Postgraduate Diploma / Masters,YES,,,,,
R_cHKVCksx0OloEEB,5,3,4.29,3.42,5.5,31-40 years,Male,Postgraduate Diploma / Masters,YES,,,,,
R_0rfTPgIRpokEkKh,5,2.8,2.88,5.67,7.125,41-50 years,Male,Bachelor Degree,YES,,,,,
R_6XBbLmIhxsrDLAp,6,4,2.41,4.08,6.75,51-60 years,Male,PhD,YES,,,,,
R_4OPRD1g4zROMGEJ,7,2,3.29,4.92,8.125,21-30 years,Male,Postgraduate Diploma / Masters,YES,,,,,
