ResponseID,Constructive Voice Behaviour  ,Power distance,Power distance -C,Collectivist,Collectivist - C,Resistance to Change,Resistance to change - C,Core Self Evaluation Scale,Core self evaluation - C,Age,Age 1,Age  1-C,Gender,Level of education,Level of Education 1,Level of Education 1-C,Manager
R_3JK36cnKu1GgqKV,5,4.2,0.60,5.33,0.08,3.35,0.06,6.17,0.58,31-40 years,2,-0.50,Female,Postgraduate Diploma / Masters,4,0.50,YES
R_9odepHyhc1joxAV,5.4,1.2,-2.40,5.83,0.58,3.41,0.12,2.58,-3.00,41-50 years,3,0.50,Male,PhD,5,1.50,NO
R_1CqMwxgZh2MXsG7,6.2,2.2,-1.40,4.17,-1.08,2.82,-0.47,4.50,-1.08,31-40 years,2,-0.50,Male,Postgraduate Diploma / Masters,4,0.50,NO
R_dhuJs36wk5Su2Pj,4,1.6,-2.00,5.67,0.42,4.12,0.82,5.17,-0.42,51-60 years,4,1.50,Female,Postgraduate Diploma / Masters,4,0.50,NO
R_es4fzluUrUz1sEZ,5,3.4,-0.20,4.00,-1.25,3.06,-0.24,5.67,0.08,41-50 years,3,0.50,Female,PhD,5,1.50,YES
R_cM7sTN1zHLc0B2l,6,3,-0.60,5.83,0.58,4.35,1.06,4.67,-0.92,31-40 years,2,-0.50,Female,Bachelor Degree,3,-0.50,YES
R_5zh0UCv5KQnWZK9,6,1,-2.60,5.83,0.58,2.82,-0.47,5.33,-0.25,41-50 years,3,0.50,Female,Postgraduate Diploma / Masters,4,0.50,NO
R_cN5cg70dDYOLeDP,6.2,1.6,-2.00,4.50,-0.75,3.29,0.00,5.25,-0.33,31-40 years,2,-0.50,Female,Postgraduate Diploma / Masters,4,0.50,YES
R_57S3Jv4YG7F5NmB,6,6.6,3.00,4.83,-0.42,2.53,-0.76,5.00,-0.58,31-40 years,2,-0.50,Male,Postgraduate Diploma / Masters,4,0.50,YES
R_byBhk8WeDzsKDwV,5.8,1,-2.60,4.17,-1.08,3.24,-0.06,5.83,0.25,31-40 years,2,-0.50,Male,Bachelor Degree,3,-0.50,NO
R_3PQNwqgK6YhT1bb,6,3,-0.60,4.33,-0.92,3.53,0.24,5.42,-0.17,41-50 years,3,0.50,Male,Bachelor Degree,3,-0.50,YES
R_3QQ7Zugdoly5SCR,5,2.6,-1.00,5.00,-0.25,3.00,-0.29,4.83,-0.75,51-60 years,4,1.50,Male,Postgraduate Diploma / Masters,4,0.50,NO
R_egvce26Zh7MNabr,4.6,5.6,2.00,3.33,-1.92,3.24,-0.06,5.58,-0.00,51-60 years,4,1.50,Female,Diploma,2,-1.50,NO
R_0USZpagbLCc7IPP,4,2.6,-1.00,4.67,-0.58,4.18,0.88,4.50,-1.08,31-40 years,2,-0.50,Male,Postgraduate Diploma / Masters,4,0.50,NO
R_9KQQUoGMXVqVClv,7,1.6,-2.00,4.17,-1.08,3.35,0.06,4.58,-1.00,31-40 years,2,-0.50,Male,Bachelor Degree,3,-0.50,YES
R_0OgDBstVCfKmqmV,4.4,1.4,-2.20,5.67,0.42,4.35,1.06,3.42,-2.17,41-50 years,3,0.50,Male,Postgraduate Diploma / Masters,4,0.50,YES
R_2dEVSVeuCmSPkD1,4.6,3.2,-0.40,4.50,-0.75,4.29,1.00,4.42,-1.17,41-50 years,3,0.50,Male,Bachelor Degree,3,-0.50,YES
R_2TR7TWVYihVHD3Q,4,2,-1.60,4.50,-0.75,4.29,1.00,3.58,-2.00,31-40 years,2,-0.50,Female,PhD,5,1.50,NO
R_1OxfCGDPk8DMDa4,4.8,2.2,-1.40,2.00,-3.25,2.76,-0.53,3.33,-2.25,41-50 years,3,0.50,Male,Postgraduate Diploma / Masters,4,0.50,YES
R_5iDIhGa8K1wpI8d,5,3,-0.60,4.00,-1.25,3.59,0.29,5.42,-0.17,31-40 years,2,-0.50,Male,Postgraduate Diploma / Masters,4,0.50,YES
R_cHKVCksx0OloEEB,5,3,-0.60,5.50,0.25,4.29,1.00,3.42,-2.17,31-40 years,2,-0.50,Male,Postgraduate Diploma / Masters,4,0.50,YES
R_0rfTPgIRpokEkKh,5,2.8,-0.80,5.00,-0.25,2.88,-0.41,5.67,0.08,41-50 years,3,0.50,Male,Bachelor Degree,3,-0.50,YES
R_6XBbLmIhxsrDLAp,6,4,0.40,3.67,-1.58,2.41,-0.88,4.08,-1.50,51-60 years,4,1.50,Male,PhD,5,1.50,YES
R_4OPRD1g4zROMGEJ,7,2,-1.60,5.83,0.58,3.29,0.00,4.92,-0.67,21-30 years,1,-1.50,Male,Postgraduate Diploma / Masters,4,0.50,YES
R_0jGNEyloritHs3z,7,1,-2.60,4.50,-0.75,3.24,-0.06,5.25,-0.33,21-30 years,1,-1.50,Female,Postgraduate Diploma / Masters,4,0.50,YES
R_dok1oM7XNr3AZIV,4.4,3.4,-0.20,5.83,0.58,3.94,0.65,4.25,-1.33,41-50 years,3,0.50,Female,Bachelor Degree,3,-0.50,NO
R_2ygrCbjczYdFxxO,4.4,1.6,-2.00,4.50,-0.75,3.94,0.65,3.75,-1.83,41-50 years,3,0.50,Male,Postgraduate Diploma / Masters,4,0.50,YES
R_dfYN18dALTatjP7,4,1,-2.60,5.50,0.25,3.71,0.41,5.00,-0.58,41-50 years,3,0.50,Male,Bachelor Degree,3,-0.50,YES
R_b9saMm10RnvE0Op,6,1.6,-2.00,4.33,-0.92,3.82,0.53,4.33,-1.25,21-30 years,1,-1.50,Female,Postgraduate Diploma / Masters,4,0.50,YES
R_25Y56UiuAzaDUup,5,2.6,-1.00,4.67,-0.58,3.06,-0.24,6.08,0.50,41-50 years,3,0.50,Male,PhD,5,1.50,YES
R_eDLNZz9ncBfQuQ5,5.6,1,-2.60,3.83,-1.42,3.65,0.35,4.50,-1.08,41-50 years,3,0.50,Male,Postgraduate Diploma / Masters,4,0.50,NO
R_eaCQ6WCiZPKDORv,6,1,-2.60,5.50,0.25,3.94,0.65,4.08,-1.50,41-50 years,3,0.50,Female,Diploma,2,-1.50,YES
R_3x77eUbTEqaxkJT,7,3,-0.60,5.33,0.08,3.53,0.24,6.58,1.00,31-40 years,2,-0.50,Male,PhD,5,1.50,NO
R_3gVz8MNHoNeenS5,7,1.4,-2.20,5.33,0.08,2.71,-0.59,5.75,0.17,31-40 years,2,-0.50,Male,Postgraduate Diploma / Masters,4,0.50,YES
R_etFBgAO3ba0CIAd,5,4.2,0.60,5.83,0.58,3.94,0.65,4.42,-1.17,41-50 years,3,0.50,Male,High School / Secondary School,1,-2.50,YES
R_40gxfLjwfeHwNMN,4.2,4.2,0.60,4.83,-0.42,4.12,0.82,5.50,-0.08,41-50 years,3,0.50,Male,Postgraduate Diploma / Masters,4,0.50,YES
