,ResponseID,Don't bypass your boss upward ( IVT 1 ),Presumed Target Identification ( IVT 2 ),Don't embarass the boss publicly ( IVT 3 ),Negative career consequences of voice         ( IVT 4 ),Constructive Voice Behavior ,Power Distance,Collectivist,Resistance to change,Core Self Evaluation Scale,Openess to change,Age,Gender,Level of education,No of countries you have lived in for at least more than 12 months,Where were these countries located?-Asia ( including India ),Where were these countries located?-Europe & Australia,Where were these countries located?-Latin America,Where were these countries located?-North America,Where were these countries located?-Africa,Please list the countries where you have lived in for at least more / than 12 months,Are you a manager ( do you have people reporting to you )?,How long have you worked for your current organisation?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,R_3JK36cnKu1GgqKV,5,3,4.5,2.25,5,4.2,5.33,3.35,6.17,7.75,2,2,4,1,,,1,,,Ecuador,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,R_9odepHyhc1joxAV,6.25,3.75,4,3,5.4,1.2,5.83,3.41,2.58,5.13,3,1,5,1,,1,,,,Germany,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,R_1CqMwxgZh2MXsG7,1.5,4.25,3.5,2,6.2,2.2,4.17,2.82,4.50,6.88,2,1,4,2,,1,,1,,"United States, Netherlands",2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,R_dhuJs36wk5Su2Pj,3.5,1.75,5,2.25,4,1.6,5.67,4.12,5.17,5.88,4,2,4,1,,1,,,,Germany,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,R_es4fzluUrUz1sEZ,2.75,2.75,3.25,2.75,5,3.4,4.00,3.06,5.67,5.38,3,2,5,1,,1,,,,Germany,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,R_cM7sTN1zHLc0B2l,3.25,3.5,5.25,4,6,3,5.83,4.35,4.67,5.88,2,2,3,1,1,,,,,Malaysia,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,R_5zh0UCv5KQnWZK9,2.5,3.75,3,3,6,1,5.83,2.82,5.33,7.75,3,2,4,1,1,,,,,Malaysia,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,R_cN5cg70dDYOLeDP,4,1.25,4.75,3.75,6.2,1.6,4.50,3.29,5.25,7.50,2,2,4,3,1,1,,,,"Vietnam, Germany, Australia",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,R_57S3Jv4YG7F5NmB,4.75,4.25,5.5,4,6,6.6,4.83,2.53,5.00,6.38,2,1,4,1,,1,,,,Spain,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,R_byBhk8WeDzsKDwV,1.75,1.75,2.25,1.5,5.8,1,4.17,3.24,5.83,7.88,2,1,3,1,,,,,1,na,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,R_3PQNwqgK6YhT1bb,3,3.25,6,2,6,3,4.33,3.53,5.42,6.75,3,1,3,2,1,,,,,"Malaysia, Japan ",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,R_3QQ7Zugdoly5SCR,4.75,5.5,4.5,6.5,5,2.6,5.00,3.00,4.83,6.88,4,1,4,3,1,1,,,,"Australia, New Zealand, Hong Kong.",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
